Fecha;hora;angulo;distance;ref_GPS ;Especie;numero_individuos;Comportamiento;Observaciones;lat;lon
06-01-2023;09:09;315;20;3;Chungungo (Lontra felina) ;1;Alimentandose ;Se observó dentro de la caleta huiro;-39.957038;-73.643058
06-01-2023;09:15;45;60;4;Delfin chileno (Cephalorhynchus entropía) ;6;Navegando;Se observación navegando erráticos. Dirección norte;-39.956351;-73.64313799999999
06-01-2023;09:25;30;50;5;Chungungo (Lontra felina) ;1;Alimentandose ;Se observo muy cerca de la orilla;-39.953948;-73.635192
06-01-2023;09:30;45;30;6;Chungungo (Lontra felina) ;1;Forrajeo;Se observo muy cerca de la orilla;-39.954034;-73.63199400000001
06-01-2023;09:35;45;10;7;Lobo comun (Otaria flavescens);1;Navegando;Se observo cerca de la orilla;-39.956878;-73.619754
06-01-2023;09:53;90;150;8;Lobo comun (Otaria flavescens);1;Navegando;;-39.959338;-73.67209699999999
06-01-2023;09:55;0;10;9;Lobo comun (Otaria flavescens);1;Navegando;;-39.960351;-73.673973
06-01-2023;10:12;270;50;10;Lobo comun (Otaria flavescens);1;Navegando;Lobo marino macho adulto;-39.960186;-73.710826
06-01-2023;11:05;45;200;11;Calderones grises (Grampus griseus) ;6;Navegando;Se observaron navegando en dirección sur. Al ver la embarcación fueron muy curiosos y nos acompañaron. En la manada había una chia o juvenil. ;-39.917865;-73.692868
06-01-2023;13:10;315;100;12;Delfin austral (Lagenorhynchus australis);3;Navegando;Se observaron en la bahía de Chaihuín, muy cerca de los colmillos;-39.953246;-73.59240800000001
06-01-2023;13:16;270;100;13;Delfin austral (Lagenorhynchus australis);1;Navegando;;-39.954764;-73.597357
06-01-2023;13:25;270;150;14;Chungungo (Lontra felina) ;3;Alimentandose;Se observaron alimentándose sobre la roca;-39.954783;-73.605814
11-01-2023;08:03;200;30;15;Chungungo (Lontra felina) ;1;Navegando;;-39.956288;-73.643197
11-01-2023;08:21;90;200;16;Lobo comun (Otaria flavescens);3;Navegando;Lejos de la costa ;-39.96069;-73.67426399999999
11-01-2023;08:26;10;100;17;Lobo comun (Otaria flavescens);1;Navegando;Lejos de la costa ;-39.966329;-73.68234
11-01-2023;10:05;0;0;18;Krill;1000000;Navegando;Mucho krill superficial ;-39.905919;-73.64849700000001
11-01-2023;10:59;300;50;19;Lobo comun (Otaria flavescens);1;Navegando;Muy cerca de la costa;-39.946691;-73.588432
11-01-2023;11:06;45;30;20;Lobo comun (Otaria flavescens);2;Sociabilizando ;;-39.95543;-73.597267
11-01-2023;11:14;300;100;21;Chungungo (Lontra felina) ;2;Descansando;;-39.955329;-73.603538
11-01-2023;11:16;290;60;22;Chungungo (Lontra felina) ;1;Navegando;;-39.955261;-73.60478000000001
11-01-2023;11:34;90;40;23;Chungungo (Lontra felina) ;1;Navegando;Lejos de la costa ;-39.954417;-73.630482
13-01-2022;08:16;0;50;24;Chungungo (Lontra felina) ;1;Forrajeo;Dentro de la caleta huiro;-39.985439;-73.676433
13-01-2023;08:20;270;30;25;Lobo comun (Otaria flavescens);1;Navegando;;-39.952333;-73.645432
13-01-2023;10:40;270;50;26;Lobo comun (Otaria flavescens);1;Navegando;Cerca de la costa;-39.937783;-73.59885800000001
13-01-2023;10:46;0;200;27;Delfin austral (Lagenorhynchus australis);2;Navegando;Playa chaihuin;-39.944659;-73.588325
13-01-2023;10:52;10;300;28;Delfin austral (Lagenorhynchus australis);7;Sociabilizando ;Sector colmillos de chaihuin. Dando saltos;-39.95334;-73.59321799999999
13-01-2023;11:20;90;20;29;Lobo comun (Otaria flavescens);1;Navegando;Sector los colmillos de chaihuin;-39.955557;-73.60304600000001
13-01-2023;11:33;0;200;30;Delfin austral (Lagenorhynchus australis);2;Navegando;Dirección sur;-39.956661;-73.621754
13-01-2023;11:35;0;10;31;Lobo comun (Otaria flavescens);1;Navegando;Dirección sur;-39.956047;-73.624234
13-01-2023;11:40;90;10;32;Delfin austral (Lagenorhynchus australis);3;Navegando;Dirección sur;-39.954105;-73.634027
13-01-2023;11:45;45;100;33;Lobo comun (Otaria flavescens);1;Navegando;Dirección sur;-39.95485;-73.640242
26-01-2023;11:30;45;50;35;Lobo comun (Otaria flavescens);1;Navegando;Lobo macho adulto ;-39.911751;-73.64140500000001
26-01-2023;12:00;270;30;36;Lobo comun (Otaria flavescens);1;Navegando;Lobo macho adulto ;-39.938058;-73.600376
26-01-2023;12:20;270;50;37;Chungungo (Lontra felina) ;1;Forrajeo;;-39.955244;-73.604169
26-01-2023;12:25;270;20;38;Chungungo (Lontra felina) ;1;Forrajeo;;-39.954861;-73.607433
26-01-2023;12:30;0;100;39;Lobo comun (Otaria flavescens);3;Navegando;;-39.956777;-73.62517699999999
26-01-2023;12:40;270;40;40;Chungungo (Lontra felina) ;2;Descansando;Sobre la roca;-39.956339;-73.627017
21-02-2023;10:33;270;50;41;Lobo comun (Otaria flavescens) ;1;Navegando;Lejos de la costa;-39.930232;-73.723427
21-02-2023;12:03;270;50;42;Chungungo (Lontra felina) ;3;Alimentandose;Cerca de la costa;-39.955252;-73.604178
21-02-2023;12:10;0;20;43;Lobo comun (Otaria flavescens);1;Navegando;Lobo marino macho;-39.954783;-73.606853
21-02-2023;12:13;270;50;44;Chungungo (Lontra felina) ;1;Descansando ;Sobre la roca;-39.954808;-73.60760000000001
21-02-2023;12:20;45;20;45;Chungungo (Lontra felina) ;2;Navegando;Muy juntos;-39.957698;-73.613445
21-02-2023;12:22;270;30;46;Chungungo (Contra felina) ;1;Descansando ;Sobre la roca;-39.95774;-73.614249
21-02-2023;12:31;270;20;47;Chungungo (Lontra felina) ;2;Descansando ;Sobre la roca;-39.956348;-73.627309
22-02-2023;09:34;310;30;48;Lobo comun (Otaria flavescens);3;navegando;Cerca de la costa;-39.961573;-73.662232
22-02-2023;09:37;315;20;49;Lobo comun (Otaria flavescens);1;navegando;Macho adulto;-39.961631;-73.66709400000001
22-02-2023;09:46;315;80;50;Lobo comun (Otaria flavescens);2;navegando;;-39.965128;-73.67959999999999
22-02-2023;11:00;315;2000;51;Ballena jorobada (Megaptera novaeangliae);1;Sociabilizando ;Se observo desde muy lejos una ballena saltando ;-39.885632;-73.693068
22-02-2023;11:34;90;200;52;Lobo comun (Otaria flavescens);1;navegando;;-39.894167;-73.676447
22-02-2023;11:47;0;20;53;Lobo comun (Otaria flavescens);1;navegando;;-39.915828;-73.632631
22-02-2023;12:17;0;450;54;Delfin austral (Lagenorhynchus australis);12;Sociabilizando ;2 crias en el grupo;-39.947522;-73.588206
22-02-2023;12:30;270;50;55;Chungungo (Lontra felina) ;1;descansando;Sobre la roca;-39.955627;-73.59754
22-02-2023;12:42;315;30;56;Chungungo (Lontra felina) ;2;alimentandose;En el agua;-39.957934;-73.615454
22-02-2023;12:44;270;20;57;Chungungo (Lontra felina) ;1;alimentandose;Sobre la roca;-39.957644;-73.61717400000001
22-02-2023;12:48;0;20;58;Chungungo (Lontra felina) ;1;alimentandose;En el agua;-39.95805;-73.618922
22-02-2023;12:49;300;30;59;Chungungo (Lontra felina) ;1;descansando;Sobre la roca;-39.957866;-73.619298
22-02-2023;12:51;0;15;60;Chungungo (Lontra felina) ;1;alimentandose;En el agua;-39.957034;-73.620215
22-02-2023;12:52;315;30;61;Lobo comun (Otaria flavescens) ;2;navegando;;-39.956538;-73.62060099999999
22-02-2023;12:55;0;20;62;Chungungo (Lontra felina) ;2;navegando;;-39.957092;-73.623924
22-02-2023;12:57;270;10;63;Lobo comun (Otaria flavescens) ;1;navegando;;-39.957014;-73.624088
22-02-2023;12:58;45;15;64;Chungungo (Lontra felina) ;1;navegando;;-39.957039;-73.625653
22-02-2023;13:05;0;50;65;Lobo comun (Otaria flavescens) ;3;navegando;;-39.954489;-73.636476
27-02-2023;09:15;10;20;66;Lobo comun (Otaria flavescens) ;1;Navegando;;-39.954948;-73.64304199999999
27-02-2023;09:28;270;100;67;Lobo comun (Otaria flavescens);8;Navegando;;-39.960421;-73.663698
27-02-2023;09:32;315;30;68;Lobo comun (Otaria flavescens) ;2;Navegando;;-39.960513;-73.664081
27-02-2023;12:00;10;500;69;Ballena jorobada (Megaptera novaeangliae);1;Alimentandose;Juvenil de ballena jorobada “chonguita”;-39.901944;-73.512165
27-02-2023;12:49;315;100;70;Delfin austral (Lagenorhynchus australis);7;Forrajeo;;-39.947943;-73.58932900000001
27-02-2023;13:02;315;30;71;Chungungo (Lontra felina) ;1;Navegando;;-39.95584;-73.602508
27-02-2023;13:10;90;30;72;Chungungo (Lontra felina) ;2;Navegando;;-39.957225;-73.612797
27-02-2023;13:23;270;50;73;Chungungo (Lontra felina) ;1;Descansando ;Sobre la roca;-39.956335;-73.62711
27-02-2023;13:24;310;20;74;Chungungo (Lontra felina) ;1;Navegando;;-39.955832;-73.628118
28-02-2023;10:44;45;30;75;Chungungo (Lontra felina) ;1;Navegando;;-39.956054;-73.64305299999999
28-02-2023;10:55;90;20;76;Lobo comun (Otaria flavescens) ;2;Alimentandose;;-39.955405;-73.595108
28-02-2023;11:00;315;60;78;Chungungo (Lontra felina) ;1;Navegando;;-39.954494;-73.59383699999999
28-02-2023;11:05;270;100;79;Delfin austral (Lagenorhynchus australis);2;Navegando;;-39.954108;-73.593448
28-02-2023;11:30;0;1000;80;Ballena jorobada (Megaptera novaeangliae);1;Sociabilizando ;;-39.920699;-73.553916
28-02-2023;12:34;0;10;81;Lobo comun (Otaria flavescens) ;1;Navegando;;-39.955526;-73.642016
28-02-2023;12:40;45;10;82;Chungungo (Lontra felina) ;1;Alimentandose;;-39.956587;-73.627233
28-02-2023;13:02;45;20;83;Chungungo (Lontra felina) ;1;Navegando;;-39.955181;-73.60491399999999
28-02-2023;13:03;90;50;84;Delfin austral (Lagenorhynchus australis);2;Navegando;;-39.954601;-73.595069
28-02-2023;13:08;0;30;85;Lobo comun (Otaria flavescens);5;Navegando;;-39.95448;-73.595705
28-02-2023;13:40;315;100;86;Ballena sei (Balaenoptera borealis) ;1;Navegando;;-39.909977;-73.52440799999999
22-03-2023;09:58;270;40;97;Lobo comun (Otaria flavescens) ;5;Navegando;Juveniles ;-39.954967;-73.652294
22-03-2023;10:04;290;30;98;Lobo comun (Otaria flavescens)  ;1;Navegando;Juveniles ;-39.95947;-73.658411
22-03-2023;10:05;90;20;99;Lobo comun (Otaria flavescens);1;Navegando;Juveniles ;-39.95973;-73.65877999999999
22-03-2023;10:06;270;20;100;Chungungo (Lontra felina) ;1;Navegando;;-39.960776;-73.66021600000001
22-03-2023;10:08;270;10;101;Lobo comun (Otaria flavescens)  ;1;Navegando;Juveniles ;-39.961719;-73.661789
22-03-2023;10:10;90;15;102;Lobo comun (Otaria flavescens)  ;1;Navegando;Juveniles ;-39.961458;-73.664322
22-03-2023;10:15;315;60;103;Lobo comun (Otaria flavescens)  ;6;Navegando;Juveniles ;-39.962167;-73.66792700000001
22-03-2023;11:45;0;60;104;Lobo comun (Otaria flavescens)  ;1;Navegando;Macho adulto;-39.929746;-73.709676
22-03-2023;12:00;0;20;105;Lobo comun (Otaria flavescens)  ;11;Alimentandose ;En la red de un pesquero ;-39.932046;-73.614983
22-03-2023;12:35;0;500;106;Ballena jorobada (Megaptera novaeangliae);1;Alimentandose ;“Chonguita”;-39.915579;-73.534797
22-03-2023;13:15;90;30;107;Lobo comun (Otaria flavescens)  ;2;Sociabilizando ;Playa chaihuin;-39.940872;-73.588588
22-03-2023;13:22;0;50;108;Lobo comun (Otaria flavescens)  ;4;Sociabilizando ;Juveniles ;-39.949547;-73.589899
22-03-2023;13:25;315;20;109;Lobo comun (Otaria flavescens)  ;2;Navegando;Juveniles ;-39.953476;-73.592546
22-03-2023;13:28;315;20;110;Lobo comun (Otaria flavescens)  ;2;Navegando;Juveniles ;-39.955026;-73.59619499999999
22-03-2023;13:30;270;15;111;Lobo comun (Otaria flavescens)  ;2;Navegando;Juveniles ;-39.956448;-73.60168899999999
22-03-2023;13:33;270;10;112;Chungungo (Lontra felina) ;1;Navegando;Juveniles ;-39.955482;-73.603483
22-03-2023;13:36;0;30;113;Lobo comun (Otaria flavescens)  ;1;Navegando;Juveniles ;-39.955007;-73.605853
22-03-2023;13:36;315;20;114;Chungungo (Lontra felina) ;1;Descansando;Sobre una roca;-39.955296;-73.607805
22-03-2023;13:40;90;60;115;Lobo comun (Otaria flavescens)  ;2;Navegando;Juveniles ;-39.956995;-73.612509
22-03-2023;13:42;90;15;116;Lobo comun (Otaria flavescens);1;Alimentandose ;Juvenil ;-39.95778;-73.61747200000001
22-03-2023;13:44;0;10;117;Chungungo (Lontra felina) ;1;Navegando;;-39.957434;-73.619514
22-03-2023;13:45;0;20;118;Lobo comun (Otaria flavescens)  ;3;Navegando;Juveniles ;-39.957157;-73.620135
22-03-2023;13:46;90;30;119;Chungungo (Lontra felina) ;1;Descansando;Sobre una roca;-39.957033;-73.62320699999999
22-03-2023;13:46;90;15;120;Lobo comun (Otaria flavescens)  ;1;Navegando;Juveniles ;-39.957023;-73.62325800000001
22-03-2023;13:48;315;20;121;Chungungo (Lontra felina) ;1;Alimentandose ;;-39.955362;-73.628603
22-03-2023;13:51;270;20;122;Chungungo (Lontra felina) ;1;Descansando;Sobre una roca;-39.954617;-73.629988
22-03-2023;13:57;315;10;124;Lobo comun (Otaria flavescens)  ;1;Navegando;Juvenil;-39.955032;-73.640137
24-03-2023;09:13;90;50;125;Lobo comun (Otaria flavescens)  ;2;Navegando ;Juveniles;-39.954744;-73.650801
24-03-2023;09:18;90;60;126;Lobo comun (Otaria flavescens) ;1;Navegando ;Juveniles;-39.959448;-73.65840300000001
24-03-2023;09:22;315;20;127;Lobo comun (Otaria flavescens)  ;1;Navegando ;Juveniles;-39.961131;-73.661125
24-03-2023;09:23;270;30;128;Lobo comun (Otaria flavescens)  ;1;Navegando ;Juveniles;-39.961589;-73.662532
24-03-2023;09:25;315;20;129;Lobo comun (Otaria flavescens)  ;1;Navegando ;Juveniles;-39.961832;-73.667202
24-03-2023;09:26;90;20;130;Lobo comun (Otaria flavescens)  ;1;Navegando ;Juveniles;-39.9622;-73.66795999999999
24-03-2023;09:27;340;15;131;Lobo comun (Otaria flavescens);1;Navegando ;Juveniles;-39.962106;-73.673027
24-03-2023;09:28;270;30;132;Lobo comun (Otaria flavescens)   ;1;Navegando ;Juveniles;-39.962425;-73.674407
